1, 0.100, 7.600, err: 0.000
1, 0.100, 0.900, err: 0.000
1, 0.000, 0.800, err: 0.000
2, 0.200, 1.800, err: 0.000
2, 0.100, 1.400, err: 0.000
2, 0.100, 1.500, err: 0.000
3, 0.200, 3.700, err: 0.000
3, 0.100, 3.200, err: 0.000
3, 0.100, 3.200, err: 0.000
4, 0.500, 7.100, err: 0.000
4, 0.400, 6.600, err: 0.000
4, 0.500, 6.600, err: 0.000
5, 1.400, 16.300, err: 0.000
5, 1.300, 15.700, err: 0.000
5, 1.400, 15.700, err: 0.000
6, 4.600, 43.100, err: 0.000
6, 4.500, 35.100, err: 0.000
6, 4.500, 34.400, err: 0.000
7, 17.000, 71.600, err: 0.000
7, 17.000, 68.800, err: 0.000
7, 16.900, 68.400, err: 0.000
8, 65.200, 153.200, err: 0.000
8, 65.200, 148.500, err: 0.000
8, 67.200, 148.700, err: 0.000
9, 256.200, 342.000, err: 0.000
9, 267.600, 336.800, err: 0.000
9, 256.300, 351.900, err: 0.000
10, 1029.700, 742.600, err: 0.000
10, 1291.300, 724.500, err: 0.000
10, 1041.200, 916.300, err: 0.000
11, 4113.000, 1685.700, err: 0.000
11, 4297.400, 1669.900, err: 0.000
11, 4292.300, 1640.700, err: 0.000
12, 16619.100, 3949.500, err: 0.000
12, 19608.800, 3692.000, err: 0.000
12, 16845.200, 3556.100, err: 0.000
13, 66554.700, 7981.100, err: 0.000
13, 66656.200, 7892.800, err: 0.000
13, 66734.400, 7872.600, err: 0.000
14, 269238.900, 16781.600, err: 0.000
14, 270088.900, 16707.600, err: 0.000
14, 277115.300, 16709.400, err: 0.000
15, 1097967.800, 34775.000, err: 0.000
15, 1200136.200, 33982.100, err: 0.000
15, 1106812.700, 33996.400, err: 0.000
